AcedamicpercentageinOperating Systems,percentageinAlgorithms,PercentageinProgrammingConcepts,PercentageinSoftwareEngineering,PercentageinComputerNetworks,hackathons,codingskillsrating,certifications,talentteststaken,olympiads,memorycapabilityscore,Interestedsubjects,Typeofcompanywanttosettlein,ManagementorTechnical,workedinteamsever,SuggestedJobRole
90,85,75,74,76,2,8,hadoop,no,no,excellent,data engineering,Sales and Marketing,Management,no,Quality Assurance Associate
73,73,61,74,67,2,3,app development,yes,no,excellent,IOT,Service Based,Technical,yes,Portal Administrator
61,89,85,82,74,5,8,distro making,no,yes,medium,hacking,product development,Technical,yes,Information Technology Auditor
60,70,76,93,66,4,6,python,no,yes,poor,programming,Sales and Marketing,Technical,yes,Software Systems Engineer
84,62,80,77,62,1,3,hadoop,yes,no,excellent,cloud computing,Testing and Maintainance Services,Management,no,Project Manager
92,90,73,62,61,4,5,python,yes,no,medium,IOT,BPA,Management,yes,Business Systems Analyst
61,94,85,88,89,4,7,r programming,yes,yes,excellent,cloud computing,Finance,Management,yes,Project Manager
71,77,94,82,91,5,6,r programming,yes,no,poor,IOT,BPA,Technical,no,CRM Technical Developer
75,81,88,63,68,2,4,distro making,yes,yes,excellent,Software Engineering,Service Based,Management,no,Network Security Administrator
79,92,94,75,88,2,2,information security,no,no,excellent,Management,product development,Management,no,E-Commerce Analyst
76,70,86,79,67,4,2,python,yes,yes,excellent,networks,Sales and Marketing,Management,no,Project Manager
62,81,62,94,74,0,9,shell programming,no,yes,medium,hacking,Sales and Marketing,Technical,yes,E-Commerce Analyst
83,91,89,93,73,1,8,full stack,no,no,medium,data engineering,Testing and Maintainance Services,Technical,no,Network Security Engineer
92,87,91,87,64,2,9,machine learning,yes,no,medium,parallel computing,product development,Management,no,Network Security Administrator
64,78,87,67,85,4,6,full stack,yes,no,poor,Management,Sales and Marketing,Management,no,Information Technology Manager
81,71,69,72,65,6,4,distro making,no,no,excellent,parallel computing,Cloud Services,Management,no,Software Quality Assurance (QA) / Testing
67,77,81,70,64,4,4,distro making,yes,yes,medium,IOT,Web Services,Management,yes,Technical Support
66,91,87,73,92,4,2,hadoop,yes,no,poor,programming,Sales and Marketing,Technical,yes,E-Commerce Analyst
77,92,60,88,89,1,2,python,no,yes,excellent,programming,SAaS services,Technical,no,Project Manager
62,78,76,91,83,3,4,hadoop,yes,no,poor,cloud computing,Cloud Services,Technical,yes,Database Administrator
80,80,69,78,68,5,6,r programming,yes,yes,medium,hacking,product development,Management,yes,Network Security Administrator
71,65,83,67,78,0,6,r programming,no,yes,excellent,data engineering,Finance,Technical,yes,Information Security Analyst
86,84,82,70,86,2,2,hadoop,no,yes,excellent,networks,Finance,Technical,no,Software Engineer
71,60,70,60,76,0,5,r programming,yes,yes,poor,programming,SAaS services,Management,no,Programmer Analyst
68,87,60,66,94,5,9,distro making,no,yes,medium,Software Engineering,product development,Technical,yes,Business Systems Analyst
61,85,73,62,74,2,6,hadoop,no,no,poor,data engineering,BPA,Management,no,Information Technology Manager
68,89,74,64,71,1,2,app development,no,no,medium,programming,BPA,Management,yes,Database Administrator
75,69,71,64,61,4,9,information security,yes,yes,excellent,programming,product development,Management,yes,Web Developer
87,77,75,77,68,5,5,hadoop,no,yes,excellent,networks,Finance,Technical,no,Design & UX
86,92,83,77,71,5,2,app development,no,no,poor,cloud computing,Finance,Management,yes,Network Engineer
75,71,63,85,80,3,1,python,no,no,poor,networks,Product based,Management,yes,Business Intelligence Analyst
77,90,88,87,77,0,8,information security,no,yes,medium,parallel computing,Finance,Management,no,Database Developer
60,92,90,67,85,5,3,hadoop,no,no,poor,Computer Architecture,Product based,Management,no,Systems Analyst
71,84,91,67,68,4,8,app development,no,yes,medium,data engineering,Service Based,Technical,yes,Network Security Administrator
83,60,69,94,72,0,2,hadoop,yes,yes,poor,cloud computing,Testing and Maintainance Services,Management,no,Software Systems Engineer
86,92,64,71,82,6,4,hadoop,no,yes,medium,programming,SAaS services,Management,no,Business Intelligence Analyst
83,68,94,91,83,5,7,r programming,no,yes,excellent,networks,Testing and Maintainance Services,Technical,yes,CRM Technical Developer
72,60,68,66,73,0,5,distro making,no,no,excellent,IOT,SAaS services,Technical,no,Systems Analyst
61,82,94,86,94,0,1,information security,yes,yes,poor,data engineering,Cloud Services,Technical,no,Software Systems Engineer
60,91,76,61,65,6,4,app development,yes,no,poor,networks,Sales and Marketing,Technical,no,Information Technology Auditor
87,92,60,90,86,5,3,hadoop,yes,no,medium,Software Engineering,Web Services,Management,yes,Database Developer
70,66,66,64,90,0,2,machine learning,no,no,medium,cloud computing,Sales and Marketing,Management,no,Software Systems Engineer
72,67,70,84,60,1,9,shell programming,yes,yes,medium,IOT,Testing and Maintainance Services,Technical,yes,E-Commerce Analyst
86,90,61,79,62,5,4,app development,no,no,medium,Computer Architecture,Cloud Services,Technical,no,Network Security Administrator
60,77,88,61,79,2,9,full stack,yes,no,excellent,data engineering,Product based,Management,no,Database Administrator
91,68,67,83,75,3,4,information security,no,no,excellent,cloud computing,BPA,Technical,yes,Software Quality Assurance (QA) / Testing
66,84,61,74,75,2,9,machine learning,yes,yes,poor,programming,product development,Technical,no,Solutions Architect
86,91,77,73,87,5,3,app development,no,yes,excellent,hacking,Product based,Technical,yes,CRM Business Analyst
88,79,86,74,69,3,4,distro making,no,yes,excellent,networks,SAaS services,Management,yes,Design & UX
61,64,82,75,77,3,4,machine learning,no,no,poor,Software Engineering,Sales and Marketing,Management,no,Portal Administrator
67,75,80,88,82,3,6,full stack,yes,no,excellent,cloud computing,Sales and Marketing,Technical,yes,Business Systems Analyst
79,63,90,65,80,1,1,information security,yes,yes,poor,Computer Architecture,Web Services,Technical,no,Database Developer
62,70,79,77,70,2,1,distro making,yes,no,poor,cloud computing,Testing and Maintainance Services,Technical,yes,Technical Support
84,93,94,60,73,2,3,machine learning,no,yes,poor,Software Engineering,Product based,Management,no,Systems Security Administrator
60,61,87,71,70,2,4,app development,yes,no,medium,parallel computing,Service Based,Management,yes,Database Administrator
79,75,63,77,75,5,2,python,no,no,poor,Computer Architecture,Service Based,Management,no,Network Security Engineer
63,78,82,89,85,6,5,machine learning,yes,no,poor,Computer Architecture,BPA,Technical,yes,Network Engineer
88,73,62,77,84,5,4,full stack,no,yes,medium,cloud computing,Finance,Technical,yes,Quality Assurance Associate
89,70,94,90,66,0,4,python,yes,yes,poor,Management,Testing and Maintainance Services,Management,no,Design & UX
80,66,68,77,68,0,3,python,yes,no,excellent,parallel computing,Product based,Technical,yes,Quality Assurance Associate
92,93,86,69,66,4,5,distro making,yes,no,medium,Computer Architecture,BPA,Technical,no,Web Developer
67,78,62,71,76,4,4,python,no,no,poor,cloud computing,Product based,Management,no,Database Manager
79,72,62,66,79,2,9,r programming,yes,yes,medium,Computer Architecture,Web Services,Technical,no,Technical Support
80,72,75,72,74,3,8,python,no,no,poor,data engineering,Cloud Services,Technical,no,UX Designer
76,86,76,94,81,3,1,r programming,no,no,poor,Computer Architecture,Service Based,Technical,yes,Technical Support
77,88,66,66,90,6,2,information security,yes,yes,poor,networks,SAaS services,Technical,yes,Design & UX
69,73,61,67,93,1,9,r programming,yes,yes,excellent,Management,Sales and Marketing,Management,no,Project Manager
69,63,94,92,94,1,7,shell programming,yes,yes,poor,programming,Service Based,Technical,no,Information Technology Manager
61,67,91,80,75,0,9,hadoop,no,no,poor,parallel computing,Testing and Maintainance Services,Management,no,Business Intelligence Analyst
80,70,93,89,70,5,4,r programming,yes,no,excellent,networks,Service Based,Technical,no,Web Developer
81,90,79,88,69,6,7,distro making,yes,yes,excellent,IOT,Sales and Marketing,Technical,yes,Software Quality Assurance (QA) / Testing
67,69,65,67,61,0,9,r programming,yes,no,medium,data engineering,Sales and Marketing,Management,yes,Portal Administrator
94,76,92,68,71,4,7,python,no,no,poor,data engineering,Product based,Management,yes,Information Technology Manager
93,81,79,93,78,0,6,app development,yes,yes,poor,data engineering,Testing and Maintainance Services,Technical,no,Project Manager
64,80,77,81,67,0,9,shell programming,yes,yes,poor,Computer Architecture,Web Services,Management,no,Network Security Administrator
74,91,61,63,86,4,2,app development,yes,yes,excellent,IOT,Testing and Maintainance Services,Management,yes,Software Engineer
63,70,61,92,81,1,5,distro making,no,no,poor,cloud computing,Product based,Management,no,Quality Assurance Associate
72,67,71,80,79,3,8,shell programming,yes,no,poor,programming,Web Services,Management,no,E-Commerce Analyst
86,89,82,65,91,5,2,python,yes,no,medium,IOT,Sales and Marketing,Technical,no,Database Developer
94,81,82,79,62,2,1,hadoop,no,yes,medium,networks,BPA,Technical,no,CRM Technical Developer
84,65,65,67,76,0,2,python,no,yes,poor,Software Engineering,Web Services,Technical,no,Database Developer
60,74,86,75,85,2,8,information security,yes,no,poor,IOT,Web Services,Management,no,Database Developer
62,66,60,71,62,0,5,hadoop,yes,yes,excellent,Management,Finance,Management,no,Programmer Analyst
84,70,81,63,70,4,4,machine learning,yes,no,medium,parallel computing,Web Services,Technical,no,Database Manager
68,94,94,76,89,1,5,shell programming,yes,no,medium,programming,Web Services,Management,no,Web Developer
71,74,76,80,94,3,2,hadoop,no,yes,excellent,hacking,Cloud Services,Management,yes,Software Engineer
87,62,67,90,60,1,2,python,no,no,excellent,parallel computing,Cloud Services,Technical,no,Solutions Architect
94,64,60,66,75,3,1,r programming,no,yes,medium,Computer Architecture,Service Based,Technical,yes,Software Quality Assurance (QA) / Testing
68,77,89,71,81,4,1,r programming,no,no,poor,parallel computing,Finance,Management,no,Systems Security Administrator
66,67,62,62,79,0,5,app development,yes,no,medium,programming,Product based,Technical,no,CRM Technical Developer
78,72,83,61,62,2,8,distro making,no,no,medium,IOT,SAaS services,Management,no,Web Developer
89,78,93,86,91,6,9,full stack,yes,yes,medium,networks,Web Services,Technical,no,Network Security Administrator
80,63,72,94,72,3,6,r programming,yes,yes,poor,networks,Testing and Maintainance Services,Technical,yes,Network Security Administrator
71,87,85,62,93,4,5,shell programming,no,no,medium,Management,Finance,Management,no,Software Developer
86,94,84,64,62,5,6,r programming,no,no,excellent,programming,SAaS services,Technical,yes,CRM Business Analyst
79,60,65,78,80,0,1,hadoop,yes,no,medium,cloud computing,Product based,Management,no,Information Technology Manager
89,69,78,86,88,0,7,hadoop,yes,yes,medium,IOT,SAaS services,Technical,no,Systems Security Administrator
87,94,81,74,76,1,8,machine learning,yes,yes,poor,Computer Architecture,Cloud Services,Technical,yes,Network Security Administrator
84,83,94,83,88,2,2,hadoop,no,yes,excellent,Computer Architecture,Cloud Services,Management,no,Applications Developer
85,71,66,91,73,4,4,shell programming,yes,no,medium,Management,Finance,Management,no,Information Technology Auditor
87,65,88,69,73,4,3,full stack,yes,no,poor,Computer Architecture,SAaS services,Technical,no,Software Quality Assurance (QA) / Testing
75,88,83,63,89,1,5,machine learning,yes,no,poor,Management,Product based,Management,yes,UX Designer
68,62,89,81,60,0,5,distro making,no,yes,poor,Management,Testing and Maintainance Services,Technical,no,Data Architect
60,79,79,68,61,0,7,python,yes,yes,excellent,cloud computing,product development,Technical,no,Information Security Analyst
91,91,79,83,65,2,1,app development,no,yes,medium,Computer Architecture,Cloud Services,Technical,no,Web Developer
64,80,89,76,91,1,4,machine learning,yes,yes,medium,programming,Finance,Technical,yes,CRM Technical Developer
83,93,68,65,80,6,3,full stack,no,yes,medium,IOT,product development,Technical,no,Information Technology Auditor
71,83,79,69,94,5,4,full stack,no,no,excellent,Management,Finance,Technical,yes,Technical Support
85,68,63,77,62,3,9,full stack,yes,yes,medium,Management,product development,Technical,yes,Data Architect
92,86,73,65,75,3,2,machine learning,yes,no,medium,cloud computing,BPA,Technical,yes,Database Manager
61,66,94,92,73,1,3,app development,yes,yes,excellent,networks,Web Services,Technical,yes,CRM Business Analyst
61,69,69,68,92,0,7,information security,yes,no,medium,hacking,Testing and Maintainance Services,Management,no,Data Architect
68,62,89,68,80,0,4,full stack,no,no,medium,hacking,Finance,Technical,no,Project Manager
62,70,64,72,63,3,2,hadoop,yes,no,poor,Computer Architecture,Testing and Maintainance Services,Management,no,Software Developer
82,80,75,64,83,5,8,shell programming,no,yes,poor,IOT,Service Based,Technical,no,Business Intelligence Analyst
90,92,64,93,68,6,8,machine learning,yes,yes,excellent,IOT,Web Services,Technical,no,Systems Analyst
93,60,61,83,79,6,9,app development,no,yes,medium,cloud computing,Sales and Marketing,Technical,yes,CRM Business Analyst
61,72,79,76,82,1,5,hadoop,no,no,excellent,parallel computing,Cloud Services,Technical,no,Database Administrator
85,78,78,93,92,1,5,full stack,no,no,medium,hacking,Finance,Management,no,Software Quality Assurance (QA) / Testing
86,76,86,92,64,5,8,information security,no,no,medium,Management,BPA,Technical,yes,Mobile Applications Developer
84,82,87,77,60,4,9,machine learning,yes,yes,excellent,Management,Service Based,Management,yes,CRM Business Analyst
86,90,80,71,67,3,3,app development,yes,yes,medium,Computer Architecture,Finance,Management,yes,Software Developer
64,83,77,78,62,3,4,python,no,no,poor,networks,Cloud Services,Technical,yes,Database Administrator
64,72,60,61,89,1,2,hadoop,no,yes,excellent,parallel computing,Finance,Technical,yes,Applications Developer
68,77,61,78,86,5,2,python,no,no,excellent,parallel computing,SAaS services,Technical,no,Database Developer
77,82,70,64,82,5,6,hadoop,yes,no,poor,Management,Sales and Marketing,Technical,yes,Network Security Engineer
88,70,73,87,73,5,7,r programming,no,yes,poor,networks,Web Services,Management,yes,Database Developer
74,79,69,87,62,5,7,python,yes,no,medium,Computer Architecture,Product based,Management,no,Technical Services/Help Desk/Tech Support
93,61,82,75,70,4,2,full stack,no,no,excellent,Software Engineering,Cloud Services,Management,no,Information Technology Auditor
75,85,69,81,91,5,9,hadoop,no,yes,excellent,data engineering,Product based,Management,no,Business Intelligence Analyst
74,86,72,93,84,4,6,full stack,no,yes,excellent,Management,Web Services,Management,yes,UX Designer
76,90,77,63,91,1,9,machine learning,no,no,poor,hacking,Finance,Management,yes,Technical Support
77,73,69,63,66,0,4,full stack,yes,no,excellent,data engineering,Web Services,Technical,no,Technical Support
91,70,75,78,83,5,1,app development,yes,yes,medium,hacking,Web Services,Management,yes,Systems Security Administrator
81,88,94,93,89,5,9,shell programming,no,yes,excellent,Software Engineering,Cloud Services,Technical,no,Database Administrator
68,62,85,71,64,6,7,information security,no,no,medium,Software Engineering,Web Services,Technical,no,Solutions Architect
62,78,81,66,88,4,7,distro making,no,no,excellent,Management,Finance,Management,yes,Information Technology Manager
85,92,85,93,64,1,3,hadoop,yes,yes,poor,hacking,Sales and Marketing,Management,no,Data Architect
75,92,92,86,87,3,4,shell programming,yes,no,excellent,programming,Web Services,Technical,yes,Applications Developer
73,69,89,65,80,2,6,r programming,yes,yes,poor,cloud computing,Sales and Marketing,Management,no,Project Manager
78,64,85,87,87,6,2,distro making,yes,yes,poor,data engineering,Testing and Maintainance Services,Technical,yes,Business Intelligence Analyst
92,77,66,74,61,0,1,r programming,yes,yes,medium,cloud computing,Sales and Marketing,Management,no,Solutions Architect
69,78,86,61,81,2,3,shell programming,yes,yes,medium,programming,Sales and Marketing,Management,yes,UX Designer
63,77,92,72,67,5,9,shell programming,yes,no,poor,programming,product development,Management,no,Applications Developer
71,80,70,88,93,4,2,distro making,no,no,excellent,Computer Architecture,Cloud Services,Technical,no,Software Developer
75,82,77,64,88,1,9,information security,no,no,excellent,data engineering,product development,Management,yes,Design & UX
65,85,69,84,70,2,3,app development,yes,no,medium,programming,Finance,Management,no,Information Security Analyst
71,81,77,66,73,4,7,information security,yes,no,medium,Management,Product based,Technical,yes,Technical Engineer
63,60,86,78,69,3,6,distro making,yes,yes,medium,networks,SAaS services,Technical,no,Project Manager
86,73,89,92,80,5,8,information security,no,yes,medium,programming,product development,Technical,no,Network Security Administrator
61,92,80,76,68,0,5,machine learning,yes,yes,medium,Computer Architecture,Sales and Marketing,Technical,yes,Data Architect
75,66,69,84,83,1,4,python,yes,yes,excellent,hacking,Testing and Maintainance Services,Management,yes,Information Technology Auditor
68,62,74,72,67,3,8,information security,no,no,poor,Software Engineering,BPA,Management,yes,Software Quality Assurance (QA) / Testing
87,80,66,72,93,0,6,app development,yes,yes,poor,Management,Service Based,Technical,yes,Technical Support
71,71,63,83,78,1,9,r programming,no,no,excellent,Computer Architecture,Product based,Management,yes,Database Administrator
94,87,77,70,82,3,3,hadoop,yes,no,excellent,IOT,Product based,Technical,no,Database Manager
84,75,74,82,80,3,2,python,no,yes,medium,Computer Architecture,Testing and Maintainance Services,Management,yes,Systems Analyst
61,65,76,90,60,1,6,distro making,yes,no,poor,parallel computing,Service Based,Management,no,Business Systems Analyst
77,81,84,86,66,2,9,python,no,no,poor,hacking,SAaS services,Management,yes,Information Technology Auditor
77,93,71,89,67,2,7,distro making,no,yes,poor,Computer Architecture,BPA,Technical,yes,Portal Administrator
83,64,85,75,93,6,9,hadoop,yes,no,excellent,Management,Service Based,Management,no,Quality Assurance Associate
92,92,72,77,91,3,1,hadoop,yes,yes,medium,Software Engineering,product development,Management,yes,Software Developer
91,82,76,77,74,5,5,r programming,yes,yes,excellent,programming,Web Services,Technical,yes,Software Developer
71,69,64,69,79,2,5,distro making,yes,yes,excellent,cloud computing,Product based,Technical,yes,Software Quality Assurance (QA) / Testing
86,74,80,65,75,6,6,shell programming,no,no,poor,parallel computing,Product based,Technical,no,Software Engineer
92,74,87,66,94,5,6,full stack,no,no,medium,cloud computing,Cloud Services,Management,yes,Solutions Architect
68,67,61,93,60,1,8,hadoop,no,no,medium,Software Engineering,Cloud Services,Management,no,Systems Analyst
87,82,68,88,83,2,3,r programming,no,no,excellent,cloud computing,product development,Management,yes,Data Architect
68,92,62,67,62,3,3,distro making,no,yes,poor,programming,BPA,Technical,yes,Mobile Applications Developer
88,84,90,90,92,2,8,r programming,no,yes,medium,programming,Product based,Technical,yes,Network Security Administrator
68,91,77,68,86,2,1,shell programming,yes,yes,poor,programming,product development,Management,yes,CRM Business Analyst
86,61,92,82,90,3,6,app development,no,yes,poor,Software Engineering,product development,Management,no,Portal Administrator
73,73,62,63,86,2,2,information security,no,no,medium,networks,Sales and Marketing,Technical,no,E-Commerce Analyst
94,69,71,63,82,1,7,app development,yes,yes,medium,parallel computing,Cloud Services,Technical,yes,Systems Security Administrator
92,86,82,79,83,3,8,r programming,yes,yes,medium,cloud computing,product development,Technical,no,Software Engineer
62,66,84,91,60,1,3,hadoop,no,no,poor,IOT,product development,Management,yes,Systems Security Administrator
88,76,84,69,77,4,4,distro making,no,no,excellent,Software Engineering,Testing and Maintainance Services,Technical,yes,Information Security Analyst
70,91,90,78,61,6,6,information security,yes,no,medium,programming,Cloud Services,Management,yes,Database Administrator
80,70,91,77,94,6,2,full stack,yes,no,poor,Management,BPA,Management,no,Network Engineer
93,71,82,68,82,4,9,app development,yes,no,excellent,Software Engineering,Cloud Services,Technical,no,Applications Developer
82,68,93,94,63,3,6,distro making,no,no,poor,Management,Finance,Technical,yes,Applications Developer
68,94,68,89,85,3,5,app development,yes,yes,medium,Computer Architecture,Testing and Maintainance Services,Technical,no,Project Manager
79,73,63,82,74,3,2,python,no,no,medium,IOT,Web Services,Management,no,Information Security Analyst
87,71,83,83,72,5,3,machine learning,yes,no,medium,Computer Architecture,BPA,Management,no,CRM Business Analyst
68,74,94,68,75,2,6,full stack,no,no,poor,hacking,Web Services,Management,yes,Network Security Engineer
72,84,92,63,65,5,8,hadoop,yes,yes,excellent,IOT,BPA,Management,yes,Information Security Analyst
83,77,74,65,78,6,2,r programming,yes,yes,poor,hacking,Service Based,Technical,yes,Information Technology Manager
61,69,85,74,61,2,9,app development,no,no,medium,parallel computing,Finance,Management,yes,Technical Engineer
73,61,90,67,89,0,6,app development,yes,no,poor,IOT,Cloud Services,Management,yes,Network Engineer
62,84,64,68,72,1,9,python,no,no,poor,data engineering,Finance,Management,no,Network Security Administrator
88,82,70,92,88,5,3,hadoop,yes,yes,medium,networks,Service Based,Management,yes,Database Administrator
77,61,87,72,71,3,5,machine learning,no,yes,poor,cloud computing,Testing and Maintainance Services,Management,no,Database Developer
93,79,93,67,77,1,9,app development,yes,no,poor,cloud computing,Product based,Management,yes,Software Engineer
85,79,82,64,90,3,5,shell programming,yes,yes,excellent,IOT,SAaS services,Technical,no,Network Engineer
74,82,67,81,74,6,4,information security,yes,yes,medium,Management,Finance,Management,yes,Project Manager
70,91,71,66,70,3,4,r programming,yes,no,excellent,Management,Product based,Technical,yes,Portal Administrator
76,66,67,81,82,1,9,shell programming,no,no,poor,hacking,Product based,Technical,no,Information Technology Auditor
63,79,77,68,62,3,9,app development,no,yes,medium,cloud computing,Finance,Management,yes,Information Security Analyst
77,89,62,93,84,2,7,hadoop,yes,no,poor,data engineering,Cloud Services,Technical,no,Business Systems Analyst
60,83,67,92,65,1,5,hadoop,no,yes,medium,parallel computing,Finance,Management,no,Database Administrator
70,77,84,74,83,5,1,machine learning,yes,yes,medium,parallel computing,Finance,Technical,no,Business Systems Analyst
69,91,90,88,87,5,4,r programming,yes,no,medium,data engineering,Product based,Technical,yes,Technical Support
79,74,74,78,80,1,3,r programming,no,no,medium,Computer Architecture,SAaS services,Technical,yes,Database Administrator
61,94,73,60,66,6,6,hadoop,no,no,medium,Computer Architecture,Cloud Services,Technical,yes,Solutions Architect
86,93,78,66,80,4,8,python,yes,no,poor,data engineering,Web Services,Management,yes,Technical Engineer
70,76,60,68,66,1,5,shell programming,yes,yes,poor,Computer Architecture,Sales and Marketing,Technical,no,Data Architect
77,65,65,71,75,1,1,machine learning,no,no,poor,Management,Web Services,Technical,yes,Portal Administrator
92,90,60,90,77,3,6,shell programming,yes,yes,excellent,networks,Product based,Technical,yes,Technical Engineer
85,72,90,79,81,0,7,information security,no,yes,poor,cloud computing,Web Services,Management,yes,Software Quality Assurance (QA) / Testing
72,83,74,85,68,3,2,hadoop,yes,no,excellent,parallel computing,SAaS services,Technical,yes,Applications Developer
81,70,75,70,67,2,2,distro making,no,no,poor,data engineering,Testing and Maintainance Services,Management,no,Network Security Administrator
78,67,76,84,93,4,7,hadoop,no,yes,excellent,networks,Service Based,Management,no,Software Quality Assurance (QA) / Testing
60,77,60,89,81,4,7,shell programming,yes,no,poor,Management,BPA,Management,no,Programmer Analyst
81,87,87,73,82,5,7,r programming,yes,yes,medium,parallel computing,Sales and Marketing,Technical,yes,Information Technology Manager
65,92,73,81,90,5,1,distro making,yes,yes,medium,IOT,BPA,Management,no,Network Engineer
91,86,88,85,71,1,1,information security,yes,no,poor,IOT,Product based,Technical,no,Software Developer
72,80,91,91,74,3,2,app development,yes,no,medium,parallel computing,Product based,Management,no,Technical Services/Help Desk/Tech Support
85,79,82,70,84,3,5,information security,yes,yes,medium,Computer Architecture,Sales and Marketing,Management,yes,Web Developer
92,88,63,77,72,0,9,machine learning,no,yes,medium,Software Engineering,Cloud Services,Technical,no,Software Developer
93,85,92,75,68,6,9,machine learning,no,yes,medium,cloud computing,Testing and Maintainance Services,Management,no,Project Manager
90,64,74,76,86,0,3,shell programming,yes,no,medium,networks,Service Based,Technical,yes,UX Designer
86,92,88,64,81,4,3,shell programming,yes,no,excellent,Software Engineering,product development,Management,no,Solutions Architect
75,67,77,82,64,3,9,hadoop,no,yes,excellent,Computer Architecture,product development,Management,no,Quality Assurance Associate
62,63,85,62,91,0,6,distro making,no,no,excellent,Computer Architecture,product development,Management,no,Database Manager
68,85,61,70,80,3,5,python,no,yes,excellent,data engineering,Testing and Maintainance Services,Management,yes,Technical Engineer
72,65,67,87,69,2,8,r programming,no,no,excellent,hacking,Service Based,Technical,yes,Database Manager
62,84,81,83,66,2,6,shell programming,yes,yes,poor,cloud computing,Product based,Management,no,Network Security Administrator
70,85,63,90,62,5,2,information security,no,no,excellent,networks,Product based,Technical,no,Database Administrator
90,78,90,62,76,2,1,hadoop,yes,yes,excellent,programming,BPA,Technical,no,Business Intelligence Analyst
68,77,84,93,74,0,9,app development,yes,yes,medium,Management,Product based,Management,yes,Project Manager
74,84,77,87,62,6,5,hadoop,no,yes,poor,Computer Architecture,Testing and Maintainance Services,Technical,yes,Database Administrator
83,68,87,93,85,0,1,distro making,no,yes,medium,Software Engineering,BPA,Management,yes,Programmer Analyst
93,87,91,69,67,1,1,app development,no,yes,excellent,cloud computing,Web Services,Management,no,Design & UX
84,87,85,69,60,4,1,shell programming,no,no,medium,Management,SAaS services,Management,no,Network Engineer
79,76,86,85,86,6,1,shell programming,yes,yes,medium,Management,Finance,Technical,no,CRM Technical Developer
72,79,80,65,68,2,8,hadoop,yes,yes,medium,parallel computing,Web Services,Technical,no,Software Systems Engineer
66,63,68,76,89,3,1,information security,yes,yes,poor,networks,Finance,Technical,yes,Project Manager
60,62,78,83,89,6,4,shell programming,yes,no,excellent,parallel computing,Sales and Marketing,Management,yes,Technical Support
93,71,66,79,71,6,5,shell programming,yes,no,excellent,cloud computing,BPA,Management,no,Database Administrator
75,62,64,68,91,2,2,python,no,yes,excellent,Software Engineering,Product based,Technical,no,Information Technology Manager
81,60,88,87,77,2,9,app development,no,no,medium,networks,SAaS services,Technical,no,Programmer Analyst
89,77,62,74,67,4,9,r programming,no,no,poor,Software Engineering,Testing and Maintainance Services,Management,yes,Information Security Analyst
68,80,60,71,66,4,7,r programming,yes,yes,excellent,hacking,Finance,Management,no,Business Intelligence Analyst
73,83,62,76,76,5,2,hadoop,yes,yes,excellent,Computer Architecture,Sales and Marketing,Management,yes,Solutions Architect
82,89,87,76,93,5,4,full stack,no,yes,medium,hacking,Finance,Management,no,Web Developer
92,67,60,64,71,1,1,app development,yes,no,poor,data engineering,Service Based,Management,no,Mobile Applications Developer
86,62,73,81,91,5,8,full stack,no,no,poor,Computer Architecture,BPA,Management,yes,Solutions Architect
83,73,84,70,64,3,3,app development,yes,no,excellent,IOT,Cloud Services,Management,yes,Software Systems Engineer
84,64,87,75,89,6,2,app development,yes,yes,medium,cloud computing,Product based,Management,no,CRM Technical Developer
83,77,61,93,90,3,9,machine learning,no,yes,poor,hacking,product development,Management,no,Programmer Analyst
85,85,91,61,73,0,4,distro making,yes,no,poor,Software Engineering,Sales and Marketing,Technical,yes,Database Administrator
79,88,83,61,71,0,3,full stack,no,yes,medium,parallel computing,Testing and Maintainance Services,Management,no,Network Engineer
89,84,73,74,83,4,6,distro making,no,yes,medium,hacking,Cloud Services,Technical,no,Network Engineer
94,60,83,66,82,0,2,machine learning,yes,yes,excellent,networks,Product based,Management,yes,E-Commerce Analyst
89,92,62,80,89,4,5,python,yes,no,medium,Software Engineering,Web Services,Management,no,Business Systems Analyst
85,79,86,79,79,5,6,shell programming,no,no,medium,Software Engineering,SAaS services,Technical,yes,Design & UX
78,61,69,73,87,2,3,full stack,yes,yes,poor,cloud computing,Testing and Maintainance Services,Technical,no,Business Intelligence Analyst
69,69,75,62,65,4,5,r programming,yes,no,poor,parallel computing,Web Services,Management,no,Systems Analyst
87,82,82,68,76,3,3,r programming,no,yes,excellent,Software Engineering,Service Based,Technical,yes,Network Security Engineer
92,78,75,90,69,2,8,shell programming,no,yes,excellent,IOT,product development,Technical,yes,Systems Analyst
86,60,71,60,82,3,1,information security,no,no,excellent,Computer Architecture,product development,Technical,no,Network Engineer
65,78,71,81,71,1,5,python,yes,yes,medium,IOT,product development,Technical,no,Technical Services/Help Desk/Tech Support
65,85,69,77,67,1,7,hadoop,yes,no,poor,data engineering,product development,Technical,no,Data Architect
85,88,83,77,67,0,4,r programming,yes,yes,excellent,IOT,product development,Technical,no,Software Quality Assurance (QA) / Testing
71,68,75,83,62,6,9,hadoop,no,yes,poor,hacking,product development,Technical,no,Network Security Engineer
89,68,63,84,90,0,8,machine learning,no,yes,medium,programming,SAaS services,Technical,no,Software Developer
78,68,77,66,86,0,2,hadoop,no,no,excellent,parallel computing,Sales and Marketing,Technical,no,Information Security Analyst
